Number,q1,q2,q3,raceeth,q6,q7,q23,q26,q28
487,5,2,2,2,1.57,40.37,2,1,1
488,4,2,1,7,1.65,72.58,2,2,1
489,4,1,1,2,1.37,74.84,2,2,1
490,3,2,1,6,1.68,76.66,2,2,1
491,5,2,2,7,1.75,63.5,1,2,1
492,4,1,2,8,1.63,47.63,2,2,1
493,5,2,2,2,1.75,123.38,1,2,1
494,4,2,1,6,1.78,90.72,2,2,1
495,3,2,1,2,1.73,53.07,2,2,1
496,4,2,1,5,1.73,74.84,2,2,1
497,3,2,1,7,1.78,83.92,2,2,1
498,3,2,1,7,1.68,85.28,2,2,1
499,3,1,1,6,1.68,65.77,2,2,1
500,3,1,1,5,1.7,47.63,1,2,1
501,3,2,1,5,1.78,58.97,2,2,1
502,3,1,1,6,,,2,2,1
503,3,1,1,2,1.57,54.43,2,1,1
504,6,2,4,7,1.73,83.92,2,2,1
505,3,1,1,7,1.6,43.09,2,2,1
506,3,2,1,5,1.75,61.24,2,2,1
507,3,1,1,6,1.63,65.32,2,2,1
508,4,1,1,2,1.6,41.73,2,1,1
509,4,2,1,4,1.83,67.13,2,2,
510,4,1,1,7,1.57,62.14,1,2,1
511,5,1,3,2,1.65,52.16,2,2,1
512,3,1,1,7,1.57,62.6,2,2,1
513,3,1,1,7,1.63,72.58,2,2,1
514,6,1,4,3,1.63,49.9,2,2,1
515,6,1,4,7,1.65,73.94,2,2,1
516,6,2,4,5,1.75,73.03,2,2,1
517,7,2,4,7,1.63,49.9,2,2,1
518,7,2,4,5,1.85,83.01,1,2,1
519,6,1,4,5,1.65,48.54,1,1,1
520,7,1,4,6,1.55,75.75,2,2,1
521,6,2,4,3,,,2,1,1
522,6,2,4,3,1.83,77.11,2,2,1
523,6,2,4,2,1.73,76.2,2,2,1
524,7,1,4,7,1.65,52.16,2,2,1
525,6,1,4,7,1.65,61.24,2,2,1
526,7,2,4,5,1.73,68.04,2,2,1
527,7,1,4,8,1.57,54.43,1,2,
528,6,1,4,6,1.55,54.43,2,2,1
529,6,2,4,2,1.75,68.04,2,2,1
530,6,2,4,5,1.73,70.76,2,2,1
531,6,2,4,7,1.7,63.5,2,2,1
532,6,1,4,6,1.65,94.35,1,2,1
533,6,1,4,7,1.52,45.36,2,2,1
534,6,2,3,3,1.9,113.4,2,2,1
535,5,1,3,6,1.63,83.92,2,2,1
536,5,1,3,5,1.68,68.04,2,2,1
537,5,1,3,5,1.55,68.04,2,2,
538,6,2,3,5,1.78,58.97,2,2,1
539,6,2,3,5,1.85,56.7,2,2,1
540,6,2,4,7,1.85,74.84,2,2,1
541,7,2,4,6,1.73,90.72,2,2,1
542,7,2,4,6,1.7,108.86,2,2,1
543,7,2,4,3,1.88,70.31,2,2,1
544,6,1,3,7,1.65,57.61,1,2,1
545,7,2,4,7,1.78,74.84,2,1,
546,5,1,3,7,1.57,58.97,2,2,1
547,5,2,3,6,1.8,63.5,2,1,2
548,6,1,3,6,,,2,2,1
549,5,2,3,6,1.75,99.79,2,2,
550,5,1,3,6,1.65,74.39,2,2,1
551,5,2,3,8,1.8,89.36,2,2,1
552,5,2,3,2,1.85,117.03,2,2,1
553,5,2,3,7,,,2,2,
554,6,1,3,7,1.57,54.43,2,2,1
555,5,1,3,1,1.6,65.77,1,2,1
556,5,1,3,2,1.6,48.99,2,1,2
557,6,2,3,7,1.68,56.7,2,2,1
558,5,1,3,5,1.57,57.15,1,2,1
559,5,2,3,7,,,2,2,1
560,5,1,3,6,,,2,1,1
561,5,1,3,7,,,,,
562,6,2,3,7,1.75,82.56,2,2,1
563,5,2,3,6,,,2,2,
564,7,1,4,5,1.7,58.97,2,2,1
565,6,1,4,2,1.55,47.63,2,2,1
566,6,1,4,2,1.75,113.4,2,2,1
567,6,1,4,2,1.55,39.46,2,2,1
568,6,2,4,7,1.8,70.76,1,2,1
569,7,1,4,2,1.55,45.81,2,2,1
570,7,1,4,6,1.55,52.16,2,1,1
571,6,1,4,2,1.68,56.7,2,2,1
572,6,1,4,2,1.57,45.36,2,2,1
573,6,1,4,2,1.65,68.04,2,2,
574,7,2,4,4,1.65,49.44,2,2,1
575,6,1,4,2,1.68,61.24,2,2,1
576,7,2,4,2,1.8,68.04,2,2,1
577,7,1,4,2,1.57,52.16,2,2,1
578,6,2,4,2,1.78,80.74,1,1,4
579,6,2,4,2,1.75,90.72,2,1,1
580,7,2,4,2,1.78,63.5,2,1,1
581,6,1,4,8,1.65,50.8,2,2,1
582,7,1,4,2,1.47,63.5,1,1,1
583,7,2,4,2,1.78,61.24,1,2,1
584,6,2,4,2,1.65,48.99,2,2,1
585,6,1,4,7,1.6,56.7,2,2,1
586,4,1,2,7,,,2,2,1
587,4,1,2,8,1.63,48.54,2,1,1
588,4,1,2,2,1.55,50.8,2,2,1
589,4,2,2,2,1.73,63.5,1,2,
590,5,2,2,7,1.75,62.6,1,2,1
591,4,2,2,7,1.73,72.58,2,2,1
592,5,1,2,2,1.55,48.99,2,2,1
593,6,1,4,2,1.63,62.6,2,2,1
594,6,2,4,2,1.6,56.25,2,2,1
595,6,1,4,2,1.6,47.63,2,2,1
